annotation_id	well	score	is_outlier	n_outlier_cells	n_infected_cells	n_non_infected_cells	serum_background_intensity	serum_background_variance
D08_0000	D08	1.0517675099035126	0	14	367	113	3941.6707	143.48389
D08_0001	D08	1.0741682368317587	0	11	302	110	3867.2812	129.49231
D08_0002	D08	1.0723889239273028	0	11	318	104	3881.7397	145.5896
D08_0003	D08	1.091446309624456	0	25	274	95	3943.096	141.60791
D08_0004	D08	1.0584730480824942	0	9	319	84	3872.2554	140.76282
D08_0005	D08	1.0545040470427676	0	6	384	125	3986.6372	150.23291
D08_0006	D08	1.0562657593743157	0	23	449	113	4097.079	172.0625
D08_0007	D08	1.0680098932446207	0	23	577	169	3833.0479	181.09534
D08_0008	D08	1.0489858108673433	0	6	426	85	3974.77	135.05103
D09_0000	D09	1.0759093571856788	0	8	335	134	3970.2744	160.75415
D09_0001	D09	1.0835423663086112	0	6	374	140	3889.0413	153.25903
D09_0002	D09	1.0972257009438373	0	8	474	67	3910.374	146.03015
D09_0003	D09	1.083043976687487	0	17	389	107	3895.5193	152.51978
D09_0004	D09	1.1132996852148944	0	21	485	172	3833.5984	177.79944
D09_0005	D09	1.0759745146239903	0	13	481	124	3942.0857	144.42114
D09_0006	D09	1.095108194043468	0	24	489	133	4125.502	153.95215
D09_0007	D09	1.101886985575271	0	16	469	87	3958.223	145.24878
D09_0008	D09	1.0772152571648683	0	16	431	103	3993.354	158.8789
D10_0000	D10	nan	1	21	187	24	3984.239	166.25403
D10_0001	D10	1.0533060796893399	0	4	285	95	3857.1533	140.44458
D10_0002	D10	1.0619553551930694	0	22	478	137	3876.3738	169.65112
D10_0003	D10	1.0575861021314172	0	10	484	119	3796.8428	139.0282
D10_0004	D10	1.0424492825055938	0	21	425	79	3722.905	140.17554
D10_0005	D10	1.0579514017735332	0	18	528	220	3849.523	147.54541
D10_0006	D10	1.060355026234036	0	10	430	133	3929.6367	138.0232
D10_0007	D10	1.0614775215040562	0	7	495	131	3820.4937	142.90735
D10_0008	D10	1.055587654120502	0	22	417	108	3828.8765	132.07886
D11_0000	D11	1.0579413988776292	0	21	429	111	3993.213	131.59985
D11_0001	D11	1.0508234815365893	0	13	347	95	3847.6316	133.13635
D11_0002	D11	1.0700704303678772	0	13	464	120	3918.8872	139.89307
D11_0003	D11	1.0318731739729823	0	15	387	92	3871.8677	138.844
D11_0004	D11	1.0511697179171657	0	13	383	119	3754.707	126.66931
D11_0005	D11	nan	1	22	462	86	3918.9421	150.63098
D11_0006	D11	1.0545413059868596	0	17	498	127	4027.7642	180.67114
D11_0007	D11	1.0708651318398903	0	19	506	163	3842.4224	140.9032
D11_0008	D11	1.0634970252636438	0	14	540	174	3868.329	140.6128
D12_0000	D12	1.070415532368442	0	11	417	72	3968.327	155.81616
D12_0001	D12	1.0513953554094766	0	15	404	94	3815.585	129.54529
D12_0002	D12	1.0513192632415493	0	13	353	118	3866.895	136.52124
D12_0003	D12	1.0590686528286901	0	13	407	78	3772.52	139.4082
D12_0004	D12	1.049378746669422	0	13	463	122	3669.9766	130.73901
D12_0005	D12	1.072356351173672	0	19	563	203	3959.769	157.19873
D12_0006	D12	1.0639814108184078	0	12	509	139	3966.9585	147.04517
D12_0007	D12	1.060247245505645	0	24	469	183	3797.4712	148.67798
D12_0008	D12	1.051121473966568	0	14	489	151	3830.7974	130.50146
E01_0000	E01	nan	1	11	6	413	3627.6536	124.60742
E01_0001	E01	nan	1	19	9	521	3543.43	122.29419
E01_0002	E01	nan	1	17	14	613	3581.5881	122.09326
E01_0003	E01	nan	1	18	16	644	3551.8992	126.961914
E01_0004	E01	nan	1	18	10	540	3478.082	119.76099
E01_0005	E01	nan	1	31	10	696	3575.6848	123.27759
E01_0006	E01	nan	1	15	13	534	3659.4175	126.69824
E01_0007	E01	nan	1	14	12	584	3560.6445	124.36426
E01_0008	E01	nan	1	26	21	488	3605.6763	129.59021
E02_0000	E02	1.1850500052028534	0	12	484	157	3914.192	153.80688
E02_0001	E02	1.226454871830926	0	14	369	106	3759.6804	140.39917
E02_0002	E02	1.1735445512125378	0	20	427	142	3777.304	141.2146
E02_0003	E02	1.2113385790148556	0	23	393	134	3768.7773	143.80945
E02_0004	E02	1.2140317712184137	0	12	348	96	3661.6787	134.12024
E02_0005	E02	1.2111580124035592	0	13	484	134	3828.4094	155.19409
E02_0006	E02	1.1937902192178205	0	21	412	118	3809.386	158.02808
E02_0007	E02	1.1558960998838919	0	8	415	96	3735.5771	151.95972
E02_0008	E02	1.1972327589825744	0	14	478	134	3771.9846	164.05469
E03_0000	E03	1.0585525740121862	0	10	390	96	3920.6172	137.94995
E03_0001	E03	1.0622214071491352	0	7	352	107	3792.4617	136.26636
E03_0002	E03	1.0485736569101196	0	10	361	101	3952.6204	152.40906
E03_0003	E03	1.0502057929286852	0	17	480	156	3901.1294	158.03625
E03_0004	E03	1.0526824077384713	0	11	376	99	3723.7935	136.19995
E03_0005	E03	nan	1	13	362	93	3945.6167	159.0747
E03_0006	E03	1.0544726939878277	0	15	375	100	3979.516	152.94336
E03_0007	E03	1.0440440621805027	0	14	387	124	3869.0347	140.89868
E03_0008	E03	1.052024497308447	0	18	452	121	3981.4468	150.87866
E04_0000	E04	1.1103620671966883	0	11	337	108	3897.4707	130.3634
E04_0001	E04	1.0791462276703667	0	12	397	86	3868.0798	150.76648
E04_0002	E04	1.0874412898115569	0	4	419	106	3865.4219	134.38269
E04_0003	E04	1.1025080815724866	0	13	395	169	3785.7126	132.0498
E04_0004	E04	1.1160887317338162	0	8	406	90	3702.225	127.60181
E04_0005	E04	1.1052627359514111	0	18	389	161	3806.3699	131.38208
E04_0006	E04	1.123844657128332	0	12	482	98	3925.5173	140.90076
E04_0007	E04	1.1249094102148114	0	19	554	208	3780.7231	133.37427
E04_0008	E04	1.1009907963709704	0	15	484	148	3934.5244	151.37207
E05_0000	E05	1.2900916626888705	0	14	422	129	3946.359	170.00208
E05_0001	E05	1.3812897999209046	0	5	297	150	3867.6533	143.4209
E05_0002	E05	1.3579121357455841	0	11	328	122	3915.3755	159.29053
E05_0003	E05	1.2818253224840788	0	14	310	76	3857.0164	152.43848
E05_0004	E05	1.2891172409460439	0	21	322	130	3887.0635	151.47119
E05_0005	E05	1.2953664742474167	0	23	410	118	3862.614	146.68945
E05_0006	E05	1.32077290062853	0	27	542	125	3937.424	159.33276
E05_0007	E05	1.299492332322211	0	20	506	154	3827.2695	155.8435
E05_0008	E05	1.2828770914395844	0	15	490	160	3834.5586	152.79248
E06_0000	E06	1.0686070938713994	0	14	513	134	3969.023	158.98535
E06_0001	E06	1.0815363713599344	0	17	396	123	3938.4004	148.19653
E06_0002	E06	1.0763308538128267	0	16	429	117	3946.5244	154.94421
E06_0003	E06	1.072461159663395	0	13	335	87	3895.469	146.70349
E06_0004	E06	1.0725997007954202	0	21	440	98	3804.6992	146.3866
E06_0005	E06	1.05813457822762	0	22	446	109	3886.0835	139.72705
E06_0006	E06	1.0615148392119367	0	24	401	137	4031.0552	156.56714
E06_0007	E06	1.0592133088458178	0	12	462	119	3855.3687	141.78271
E06_0008	E06	1.0725039603590876	0	20	598	176	3947.3752	143.83594
E07_0000	E07	1.0583734248553005	0	19	436	77	3984.154	139.18896
E07_0001	E07	1.0787875314271276	0	18	491	108	3835.9775	141.09558
E07_0002	E07	1.1035449904715657	0	19	396	158	3980.2024	138.7439
E07_0003	E07	1.0982684667672935	0	12	368	77	3954.093	154.10425
E07_0004	E07	1.0722730391970554	0	13	362	124	3724.1682	147.82056
E07_0005	E07	1.082977779094746	0	13	323	55	3896.081	136.9961
E07_0006	E07	1.0939740350744482	0	11	347	130	3962.0168	152.07849
E07_0007	E07	1.0987463855630226	0	25	323	163	3861.9004	147.46973
E07_0008	E07	1.092602781084127	0	14	459	107	3947.148	156.39844
E08_0000	E08	1.0602105266677855	0	12	264	78	4007.1328	143.45544
E08_0001	E08	1.1030796046927156	0	13	367	147	3886.264	154.9497
E08_0002	E08	1.0964648854484298	0	11	380	132	3914.291	147.15173
E08_0003	E08	1.0893489107151315	0	17	399	93	3876.3472	150.66455
E08_0004	E08	1.1061808982057924	0	9	388	76	3800.9797	155.53687
E08_0005	E08	1.1019752161467224	0	11	380	78	3922.0576	135.8573
E08_0006	E08	1.09544758327357	0	10	435	122	3982.5315	136.86572
E08_0007	E08	1.0994582118850753	0	15	505	147	3787.7244	157.50024
E08_0008	E08	1.0855821576351958	0	5	367	132	3860.3013	140.40552
E09_0000	E09	1.0633947768772445	0	14	424	124	3956.3013	162.95447
E09_0001	E09	1.0692028935379294	0	15	326	112	3853.6323	152.57202
E09_0002	E09	1.064399770016915	0	6	271	80	3953.8584	147.32031
E09_0003	E09	1.0566199404160546	0	12	319	92	3863.8267	155.1289
E09_0004	E09	1.0683884885867714	0	14	374	117	3819.027	147.25073
E09_0005	E09	1.0470878376371209	0	3	376	83	3918.39	143.6012
E09_0006	E09	1.056694186257302	0	6	411	109	3884.3857	147.0669
E09_0007	E09	1.0682924752696525	0	7	439	86	3928.8481	141.39087
E09_0008	E09	1.0576121967921146	0	11	464	116	3975.8105	151.2666
E10_0000	E10	1.0439558812034344	0	13	371	107	3995.621	159.68018
E10_0001	E10	1.0626129011572538	0	12	421	70	3869.872	146.07214
E10_0002	E10	1.0826049585328779	0	15	454	101	3897.1885	136.28613
E10_0003	E10	1.0736492925605379	0	8	451	141	3852.9888	141.87842
E10_0004	E10	1.063286689673158	0	36	504	203	3785.5483	169.87622
E10_0005	E10	1.0370104296786156	0	12	423	90	3873.7432	147.58423
E10_0006	E10	1.064165590890508	0	19	512	143	3954.3987	143.38733
E10_0007	E10	1.0494560025158184	0	24	542	134	3880.3171	168.05615
E10_0008	E10	1.0427251652673772	0	13	510	125	3931.5835	166.91992
E11_0000	E11	1.0840674797670384	0	15	299	89	3961.3438	144.70801
E11_0001	E11	1.1031899985965568	0	9	435	108	3863.8706	153.79163
E11_0002	E11	1.0889397749039775	0	19	364	142	3913.3677	139.28247
E11_0003	E11	1.0941587660047742	0	13	479	117	3819.1687	141.96411
E11_0004	E11	1.0683364955765577	0	18	428	169	3791.3064	145.45776
E11_0005	E11	1.0600565922474072	0	12	423	108	3898.8206	133.10303
E11_0006	E11	1.0607284720628687	0	8	334	91	3955.5054	135.8352
E11_0007	E11	1.0813833982250927	0	11	320	86	3884.0117	134.3678
E11_0008	E11	1.0896934371089666	0	14	449	123	3941.2527	158.8606
E12_0000	E12	1.0749036653652397	0	16	427	185	3972.274	158.84937
E12_0001	E12	1.0582416437107902	0	17	557	166	3760.843	130.42859
E12_0002	E12	1.0866987081599542	0	9	332	137	3928.3032	142.30835
E12_0003	E12	1.0703211460538988	0	13	452	99	3808.5732	154.54736
E12_0004	E12	1.0633209472305953	0	10	519	142	3771.2231	143.53015
E12_0005	E12	1.0518493307426668	0	16	474	157	3938.5652	163.06958
E12_0006	E12	1.0494469128397153	0	16	298	138	3972.12	145.99805
E12_0007	E12	1.059155419831262	0	10	476	140	3810.4197	133.37244
E12_0008	E12	1.085422903162971	0	22	452	172	3875.6367	133.8855
F01_0000	F01	nan	1	13	10	507	3601.8276	134.4895
F01_0001	F01	nan	1	24	14	660	3539.8784	127.06763
F01_0002	F01	nan	1	11	9	425	3571.6934	117.089355
F01_0003	F01	nan	1	23	4	561	3528.1812	125.57068
F01_0004	F01	nan	1	14	4	639	3271.385	117.57349
F01_0005	F01	nan	1	16	6	688	3591.8313	128.45776
F01_0006	F01	nan	1	22	17	733	3654.3074	123.944336
F01_0007	F01	nan	1	14	17	505	3564.2812	119.23535
F01_0008	F01	nan	1	13	4	524	3568.4692	119.98352
F02_0000	F02	1.0984227771904995	0	15	379	131	3819.8467	147.06885
F02_0001	F02	1.1249606593329957	0	16	471	155	3689.6335	132.94678
F02_0002	F02	1.1066740007067963	0	6	461	95	3728.2417	130.73242
F02_0003	F02	1.1065368994471338	0	15	445	111	3677.0564	124.41113
F02_0004	F02	1.1230766920278832	0	6	341	97	3599.2385	136.61475
F02_0005	F02	1.116671112978299	0	10	340	62	3733.0132	134.25488
F02_0006	F02	1.0963089373599861	0	12	505	136	3868.5564	139.22766
F02_0007	F02	1.1051428201081785	0	9	409	86	3722.0115	129.75366
F02_0008	F02	1.102007341873656	0	13	384	121	3777.0664	128.49878
F03_0000	F03	1.304781173859804	0	10	393	92	3988.1016	142.99707
F03_0001	F03	1.3477452698923704	0	7	377	122	3854.125	144.35864
F03_0002	F03	1.3995232297150044	0	10	362	145	3981.5798	167.14392
F03_0003	F03	1.3160623413580192	0	16	426	153	3843.565	157.53821
F03_0004	F03	1.3254471037491693	0	5	385	95	3820.3408	159.64575
F03_0005	F03	1.288890825962369	0	14	365	94	3890.4524	141.20874
F03_0006	F03	1.3342002236551274	0	13	366	77	4039.1335	155.77124
F03_0007	F03	1.298591143076439	0	19	485	169	3956.0542	155.83936
F03_0008	F03	1.3414982288037873	0	10	380	92	3932.7402	143.81104
F04_0000	F04	1.3302292812572885	0	15	317	145	4067.587	158.26892
F04_0001	F04	1.3186780765912192	0	6	381	103	3993.929	168.36975
F04_0002	F04	1.391164976934472	0	7	334	111	4048.7764	150.35168
F04_0003	F04	1.3357457659102252	0	10	325	63	3937.3633	146.1416
F04_0004	F04	1.3632301319824713	0	8	335	115	3904.2993	161.23889
F04_0005	F04	1.3053591335447845	0	7	334	85	3883.4558	157.23462
F04_0006	F04	1.3692621316978095	0	18	474	228	4112.359	200.75342
F04_0007	F04	1.2988875849522379	0	13	521	132	3999.279	166.60437
F04_0008	F04	1.2594230890515836	0	10	450	123	3990.5044	135.8042
F05_0000	F05	nan	1	23	409	90	4017.4111	158.02246
F05_0001	F05	1.0467619606481247	0	15	336	127	3785.305	150.65137
F05_0002	F05	1.0564216763843806	0	25	538	136	3855.7288	147.17896
F05_0003	F05	1.045801214230678	0	21	550	133	3854.0024	158.41858
F05_0004	F05	1.015078243339113	0	13	420	105	3677.7373	143.21887
F05_0005	F05	nan	1	12	474	124	3917.3086	158.84033
F05_0006	F05	1.0409170357751278	0	16	499	128	3959.042	157.8999
F05_0007	F05	1.051320006834841	0	15	435	88	3776.5056	135.76453
F05_0008	F05	1.0519860042106322	0	9	450	169	3835.3945	134.2229
F06_0000	F06	1.0327219145962823	0	18	305	137	3884.1592	136.36047
F06_0001	F06	1.0097689911669872	0	16	369	102	3785.1096	133.68701
F06_0002	F06	1.022206019884787	0	20	498	75	3840.3298	137.81274
F06_0003	F06	1.0167324635120663	0	23	412	91	3824.4543	135.12476
F06_0004	F06	1.0271750295449609	0	7	431	110	3739.2207	139.05786
F06_0005	F06	1.022386181406012	0	10	388	112	3814.7566	129.81812
F06_0006	F06	1.0162943124482298	0	24	396	117	3953.1353	152.49377
F06_0007	F06	1.0162340797219902	0	16	426	100	3793.2104	138.69153
F06_0008	F06	1.0217819736508427	0	16	455	201	3869.377	145.08594
F07_0000	F07	nan	1	11	438	97	3981.7378	153.16821
F07_0001	F07	1.0247013539455487	0	8	405	81	3820.8713	148.69849
F07_0002	F07	1.0335587543738678	0	14	367	83	3916.1167	153.1438
F07_0003	F07	1.041481752271475	0	21	369	88	3885.8357	139.2074
F07_0004	F07	1.0441635288084383	0	22	511	167	3806.4941	144.09204
F07_0005	F07	1.0259850191859456	0	9	349	87	3870.198	147.58887
F07_0006	F07	1.056504781501552	0	16	533	119	3969.0874	165.51453
F07_0007	F07	1.0539173742303316	0	17	499	125	3837.5469	161.20654
F07_0008	F07	1.0240149345752165	0	16	418	82	3886.9727	144.21802
F08_0000	F08	1.0609485865942052	0	15	389	127	3906.9414	136.82568
F08_0001	F08	1.0519232917155812	0	15	350	120	3806.4507	137.85596
F08_0002	F08	1.0643876761275253	0	12	394	153	3928.8616	166.86865
F08_0003	F08	1.0578120906649175	0	11	382	97	3826.235	149.03442
F08_0004	F08	1.0427027462058485	0	19	390	123	3734.2256	142.75842
F08_0005	F08	1.0363593332809324	0	11	386	79	3833.6816	132.8169
F08_0006	F08	1.0736972022952904	0	19	419	83	3888.209	140.55078
F08_0007	F08	1.0801381699915282	0	17	452	140	3802.641	148.6123
F08_0008	F08	1.0549822417497376	0	20	393	129	3877.386	138.54639
F09_0000	F09	1.0388565365323998	0	16	466	120	4012.604	164.5166
F09_0001	F09	nan	1	50	474	44	4114.906	256.57666
F09_0002	F09	1.0308623331640214	0	12	390	148	3934.4172	147.6062
F09_0003	F09	1.0319058619089019	0	14	338	83	3863.8967	134.5586
F09_0004	F09	1.0290343092430725	0	10	396	69	3869.8748	157.61646
F09_0005	F09	1.0381008402376208	0	15	361	114	3988.5596	152.24927
F09_0006	F09	1.044346316800638	0	8	481	74	4009.2993	146.1521
F09_0007	F09	1.0729777273688978	0	14	241	60	3912.0598	133.0315
F09_0008	F09	1.0509718526518719	0	21	338	135	3927.5942	140.94092
F10_0000	F10	1.0748574494015357	0	8	348	57	4012.0305	150.9812
F10_0001	F10	1.0801119675260271	0	17	521	192	3929.2825	148.82446
F10_0002	F10	1.087159442633551	0	9	491	120	4091.4314	163.94287
F10_0003	F10	1.0693296400010834	0	21	469	193	3857.8245	148.32202
F10_0004	F10	1.072607486186113	0	17	388	128	3774.2532	170.31372
F10_0005	F10	1.0854464352236772	0	23	570	165	3940.0674	139.2174
F10_0006	F10	1.06947907818958	0	17	489	141	4014.1018	141.55078
F10_0007	F10	1.0914022449137217	0	12	426	130	3979.401	144.96106
F10_0008	F10	1.0545493473991898	0	11	398	103	4046.3284	182.07458
F11_0000	F11	1.070984932919411	0	15	531	184	3948.5732	171.03491
F11_0001	F11	1.1058654285854355	0	17	416	133	3846.236	143.35938
F11_0002	F11	1.104248100429149	0	15	489	99	3924.6313	149.18188
F11_0003	F11	1.079220227194027	0	23	513	130	3825.9966	148.94238
F11_0004	F11	1.0897009952320211	0	10	418	67	3786.317	134.42175
F11_0005	F11	1.1067086640133954	0	22	659	174	3892.53	158.4292
F11_0006	F11	1.0914575636450754	0	18	483	114	4029.6875	164.84766
F11_0007	F11	1.0976910599977414	0	16	488	144	3841.7678	142.24658
F11_0008	F11	1.084230609456768	0	28	459	127	3871.6013	143.93567
F12_0000	F12	1.0458381063958129	0	11	459	104	3945.7944	142.68823
F12_0001	F12	1.0475905401763663	0	13	487	213	3804.941	129.6399
F12_0002	F12	1.0558289341347913	0	5	347	96	3920.8364	153.98291
F12_0003	F12	1.0622026459533218	0	12	458	165	3717.8733	152.08899
F12_0004	F12	1.0553056782291512	0	16	485	112	3726.561	134.5802
F12_0005	F12	1.0455230238891666	0	16	470	164	3883.8174	128.65894
F12_0006	F12	1.0549623706089266	0	16	431	138	3789.8894	134.48657
F12_0007	F12	1.0402614145183897	0	23	497	169	3862.0981	128.27246
F12_0008	F12	1.0494867542054866	0	16	421	110	3887.8682	141.46973
G01_0000	G01	nan	1	17	8	506	3590.1274	134.90283
G01_0001	G01	nan	1	17	10	596	3500.563	133.27124
G01_0002	G01	nan	1	30	9	653	3526.5537	126.49048
G01_0003	G01	nan	1	18	10	429	3531.8225	125.73169
G01_0004	G01	nan	1	13	6	489	3431.5127	122.09314
G01_0005	G01	nan	1	21	10	583	3470.567	131.80444
G01_0006	G01	nan	1	16	10	589	3589.7278	124.396484
G01_0007	G01	nan	1	26	8	712	3514.4407	119.67969
G01_0008	G01	nan	1	21	13	478	3565.5625	116.87207
G02_0000	G02	1.428750942919735	0	12	297	119	4000.0022	172.79419
G02_0001	G02	1.5111077432932352	0	12	309	101	3851.5278	168.40845
G02_0002	G02	1.4931829403601182	0	9	367	136	3839.3882	148.8435
G02_0003	G02	1.397315046056806	0	9	331	68	3827.7258	138.85425
G02_0004	G02	1.4112489502470242	0	15	454	192	3812.2537	183.2002
G02_0005	G02	1.3472193126901906	0	8	431	118	3817.3489	186.24695
G02_0006	G02	1.4057760440327107	0	6	400	83	3958.8953	156.13013
G02_0007	G02	1.4314919718972383	0	10	387	155	3815.3103	148.02393
G02_0008	G02	1.4619486414013065	0	6	315	98	3864.921	137.92578
G03_0000	G03	1.5426129107911675	0	11	350	64	3945.3562	142.14062
G03_0001	G03	1.6198669288647163	0	9	385	99	3876.516	173.74487
G03_0002	G03	1.5342535695443384	0	10	406	91	3895.9014	152.2981
G03_0003	G03	1.522444937338163	0	8	423	94	3855.7097	152.02661
G03_0004	G03	1.5842768767584932	0	7	323	83	3734.6326	138.57007
G03_0005	G03	1.6460065884164865	0	10	355	116	3859.9202	156.19202
G03_0006	G03	1.6493024969432137	0	15	382	109	4027.8933	170.29663
G03_0007	G03	1.5706085486745216	0	4	355	79	3955.689	174.88306
G03_0008	G03	1.4787852102979695	0	11	397	103	4059.2065	179.44885
G04_0000	G04	1.3440103031503863	0	5	282	111	3894.101	140.44067
G04_0001	G04	1.4138585671103394	0	11	386	115	3839.0854	157.2666
G04_0002	G04	1.3575978088053309	0	12	429	141	3866.0898	137.10107
G04_0003	G04	1.3447082408206779	0	13	383	122	3812.9531	141.1698
G04_0004	G04	1.3273275672294822	0	11	344	92	3737.374	159.02649
G04_0005	G04	1.3252036423226898	0	11	482	100	3764.6482	153.14453
G04_0006	G04	1.3747587487935504	0	12	382	130	3895.7717	163.49023
G04_0007	G04	1.3561501701294147	0	5	272	63	3848.9402	152.71753
G04_0008	G04	1.3132139786911876	0	10	378	92	3897.8745	138.094
G05_0000	G05	1.0538232155052798	0	21	407	134	3918.8823	145.82703
G05_0001	G05	1.0759434116955553	0	26	449	115	3753.4558	140.5
G05_0002	G05	1.0535995346000162	0	10	409	168	3790.963	133.1665
G05_0003	G05	1.0603378671820698	0	14	344	99	3730.7488	139.71777
G05_0004	G05	1.0604188830094592	0	27	504	173	3725.8298	153.85986
G05_0005	G05	1.0499579654837725	0	28	444	170	3774.9617	131.29883
G05_0006	G05	1.0474591144902259	0	29	532	123	3901.2595	142.5686
G05_0007	G05	1.0522841230023563	0	16	449	111	3760.9365	129.58423
G05_0008	G05	1.0433562449998535	0	33	460	77	3808.4172	137.99951
G06_0000	G06	1.086319916855054	0	10	448	113	4114.27	148.66357
G06_0001	G06	1.069487866103219	0	12	532	186	3956.3413	139.54102
G06_0002	G06	1.0953237220991598	0	15	401	113	4077.5637	140.24487
G06_0003	G06	1.0891344207694804	0	34	506	106	4127.0156	148.51733
G06_0004	G06	1.060623114712122	0	6	373	171	4029.0574	160.28552
G06_0005	G06	1.057792404131274	0	10	453	93	4017.0945	146.0011
G06_0006	G06	1.0657705945803144	0	8	460	168	4069.0356	150.99243
G06_0007	G06	1.0579353680626498	0	11	454	121	4011.6545	167.33813
G06_0008	G06	1.0779132079436797	0	16	402	133	4027.6067	145.89429
G07_0000	G07	1.0620169661261953	0	12	412	100	4055.639	146.53052
G07_0001	G07	1.0630495166335583	0	13	392	67	3970.8276	141.94043
G07_0002	G07	1.0653055338271118	0	12	373	107	4053.6294	145.74878
G07_0003	G07	1.0609400476660227	0	10	510	115	3959.0186	146.0531
G07_0004	G07	1.053001223014998	0	40	470	114	3875.8933	156.80054
G07_0005	G07	1.0734567815735074	0	19	452	172	4048.477	149.51367
G07_0006	G07	1.0668836163182882	0	13	453	114	3967.352	134.97314
G07_0007	G07	1.0639061112666597	0	13	476	124	3857.1274	156.68384
G07_0008	G07	1.044460872441244	0	7	348	120	3879.9204	137.98938
G08_0000	G08	1.0393725600527703	0	6	285	101	3946.921	145.81274
G08_0001	G08	1.0586887035713664	0	11	436	142	3851.5745	157.09814
G08_0002	G08	1.0558249501219295	0	11	314	98	4000.1135	145.29626
G08_0003	G08	1.0392420856339601	0	21	478	179	3851.518	157.21655
G08_0004	G08	1.028744219725652	0	17	424	133	3819.1885	156.10205
G08_0005	G08	1.0181155771461843	0	8	438	93	3873.2754	172.44897
G08_0006	G08	nan	1	20	395	85	4044.504	182.86743
G08_0007	G08	1.0415058287929713	0	19	391	93	3828.174	149.94116
G08_0008	G08	1.0487178749606867	0	29	363	144	3811.6948	173.14453
G09_0000	G09	1.0444372197508605	0	14	336	115	3881.5637	153.29736
G09_0001	G09	1.0402115588389438	0	10	364	111	3801.625	149.42944
G09_0002	G09	1.043599115480427	0	9	466	142	3798.8008	139.97986
G09_0003	G09	1.031555896874942	0	8	542	105	3738.379	148.34021
G09_0004	G09	1.0199289078325888	0	9	389	94	3763.6626	150.67554
G09_0005	G09	1.029669740401744	0	7	271	76	3746.4517	128.20508
G09_0006	G09	1.040939387619184	0	13	343	145	3810.8606	151.71558
G09_0007	G09	1.0295334094094393	0	13	342	101	3722.731	132.91284
G09_0008	G09	1.033010623013252	0	11	381	108	3803.5752	141.00562
G10_0000	G10	1.046609910853552	0	18	379	134	3876.368	140.3628
G10_0001	G10	1.0537758587485515	0	16	416	105	3759.0142	144.85278
G10_0002	G10	1.0546263389617847	0	12	348	191	3820.349	139.71655
G10_0003	G10	1.0477095416896416	0	14	405	177	3707.2031	148.70288
G10_0004	G10	1.0327071072775813	0	16	328	79	3726.8584	149.57227
G10_0005	G10	1.0314827550840546	0	17	409	181	3811.1956	140.00024
G10_0006	G10	1.0610852766321446	0	14	398	142	3917.934	145.91272
G10_0007	G10	1.0418031754032258	0	12	417	163	3626.0452	155.98059
G10_0008	G10	1.0312971752293356	0	21	430	122	3783.0288	130.62976
G11_0000	G11	1.0892394285798364	0	13	440	160	3994.5056	195.22803
G11_0001	G11	1.0777212532966822	0	16	492	192	4028.5024	177.91357
G11_0002	G11	1.1259091452755179	0	15	503	227	3883.268	137.08643
G11_0003	G11	1.0944329169768336	0	10	481	133	3836.877	181.74353
G11_0004	G11	1.0949876952002349	0	14	412	117	3776.5027	127.80151
G11_0005	G11	1.0813730641015071	0	12	530	129	3887.6995	139.86963
G11_0006	G11	1.0925901318356837	0	15	400	112	3956.0898	147.86621
G11_0007	G11	1.0781079955476998	0	17	465	207	3843.942	146.07642
G11_0008	G11	1.0873679499372617	0	13	470	120	3912.595	140.72021
G12_0000	G12	1.0778756072382312	0	13	468	136	3926.9688	144.71631
G12_0001	G12	1.0905117985247357	0	11	502	128	3761.8665	132.53003
G12_0002	G12	1.0920287429485214	0	10	365	82	3929.0957	151.3728
G12_0003	G12	1.083416079025079	0	13	582	136	3839.3643	144.02551
G12_0004	G12	1.0574557090760084	0	14	517	217	3635.4387	170.5752
G12_0005	G12	nan	1	22	541	165	3915.6763	140.32593
G12_0006	G12	1.071418338628064	0	24	463	152	4029.3223	167.3706
G12_0007	G12	1.0565921446105633	0	11	466	193	3895.966	136.97607
G12_0008	G12	1.0511175138254867	0	11	417	80	3966.938	138.83118
H01_0000	H01	nan	1	2	5	4	3591.4253	130.2102
H01_0001	H01	nan	1	14	9	647	3523.994	123.0271
H01_0002	H01	nan	1	13	9	665	3540.8213	132.90723
H01_0003	H01	nan	1	26	9	500	3503.2712	118.864624
H01_0004	H01	nan	1	18	10	630	3435.6624	120.75635
H01_0005	H01	nan	1	19	4	472	3537.6943	134.4602
H01_0006	H01	nan	1	20	10	547	3636.5496	119.727295
H01_0007	H01	nan	1	24	14	622	3566.9956	124.09082
H01_0008	H01	nan	1	12	9	513	3601.482	126.05127
H02_0000	H02	1.7046599965611877	0	1	309	118	3950.1838	153.78491
H02_0001	H02	1.713038683762904	0	19	424	139	3868.2266	160.84912
H02_0002	H02	1.6749446687594747	0	16	432	119	3951.7388	171.39111
H02_0003	H02	1.6879351470673791	0	14	460	162	3933.8936	147.58447
H02_0004	H02	1.6257883303899998	0	15	447	117	3830.3694	167.83472
H02_0005	H02	1.759361963154566	0	3	288	138	3953.554	139.59863
H02_0006	H02	1.7197024335677464	0	12	441	168	4133.4395	200.49731
H02_0007	H02	1.630119017753919	0	14	452	116	3979.2969	172.66382
H02_0008	H02	1.5841929985339511	0	15	514	179	3995.5894	144.76294
H03_0000	H03	1.0487556008384742	0	14	502	136	3828.9756	124.940674
